[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1687505566.319000 6/23/2023, 9:32:46 AM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.60,  Build 081

INFO, NAME, Li0.6Al0.4Fe5O8
INFO, WEIGHT, 85.250
INFO, AREA, 0.000
INFO, LENGTH, 0.000
INFO, SHAPE, 
INFO, COMMENT, cotton: 29.92 mg, capsule:40.26 mg
INFO, SEQUENCE FILE: ZFCF.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1687505566.311,,1.000000e+001,4.994476e+000,1.481456e-002,0.000000e+000,3,9.970577e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,5.224705e-003,0.000000e+000,0,,0,
1687505642.065,,1.000000e+001,1.277418e+001,1.522864e-002,0.000000e+000,3,9.973152e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,1.860810e+000,0.000000e+000,0,,0,
1687505689.006,,1.000000e+001,1.964305e+001,1.566611e-002,0.000000e+000,3,9.972912e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,2.717468e+000,0.000000e+000,0,,0,
1687505728.609,,1.000000e+001,2.627541e+001,1.605985e-002,0.000000e+000,3,9.973322e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,2.585100e+000,0.000000e+000,0,,0,
1687505770.402,,1.000000e+001,3.287976e+001,1.667337e-002,0.000000e+000,3,9.972605e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,2.575739e+000,0.000000e+000,0,,0,
1687505807.762,,1.000000e+001,3.892485e+001,1.703512e-002,0.000000e+000,3,9.972578e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,2.549362e+000,0.000000e+000,0,,0,
1687505868.507,,1.000000e+001,4.883125e+001,1.762108e-002,0.000000e+000,3,9.969772e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,2.748779e+000,0.000000e+000,0,,0,
1687505891.580,,1.000000e+001,5.255701e+001,1.783795e-002,0.000000e+000,3,9.970316e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,2.556610e+000,0.000000e+000,0,,0,
1687505929.770,,1.000000e+001,5.865776e+001,1.821619e-002,0.000000e+000,3,9.971362e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,2.700958e+000,0.000000e+000,0,,0,
1687505969.797,,1.000000e+001,6.542576e+001,1.860266e-002,0.000000e+000,3,9.971744e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,2.366989e+000,0.000000e+000,0,,0,
